From,Entry,Entry Name,Protein names,Gene Names
Q8WTY4,Q8WTY4,CPIN1_MOUSE,Anamorsin (Cytokine-induced apoptosis inhibitor 1) (Fe-S cluster assembly protein DRE2 homolog),Ciapin1
Q9D6J6,Q9D6J6,NDUV2_MOUSE,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial (EC 7.1.1.2) (NADH-ubiquinone oxidoreductase 24 kDa subunit)",Ndufv2
Q8K3J1,Q8K3J1,NDUS8_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit)",Ndufs8
Q91ZA3,Q91ZA3,PCCA_MOUSE,"Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)",Pcca
Q8VHQ9,Q8VHQ9,ACO11_MOUSE,Acyl-coenzyme A thioesterase 11 (Acyl-CoA thioesterase 11) (EC 3.1.2.-) (Acyl-CoA thioester hydrolase 11) (Adipose-associated thioesterase) (Brown fat-inducible thioesterase) (BFIT) (Palmitoyl-coenzyme A thioesterase) (EC 3.1.2.2),Acot11 Bfit Thea
Q8R1S0,Q8R1S0,COQ6_MOUSE,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.13.-) (Coenzyme Q10 monooxygenase 6)",Coq6
Q9ER39,Q9ER39,TOR1A_MOUSE,Torsin-1A (Dystonia 1 protein) (Torsin ATPase 1) (EC 3.6.4.-) (Torsin family 1 member A),Tor1a Dyt1
Q9D2G2,Q9D2G2,ODO2_MOUSE,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex) (E2K)",Dlst
Q149B8,Q149B8,PERM1_MOUSE,PGC-1 and ERR-induced regulator in muscle protein 1 (PPARGC1 and ESRR-induced regulator in muscle 1) (Peroxisome proliferator-activated receptor gamma coactivator 1 and estrogen-related receptor-induced regulator in muscle 1),Perm1
E9Q3H6,E9Q3H6,E9Q3H6_MOUSE,Coenzyme Q10A,Coq10a
Q99LC5,Q99LC5,ETFA_MOUSE,"Electron transfer flavoprotein subunit alpha, mitochondrial (Alpha-ETF)",Etfa
Q3V037,Q3V037,CF163_MOUSE,Uncharacterized protein C6orf163 homolog,Gm136
