CONTENT ID	CONTENT TYPE	MIRNA ID	SPECIES	EXPERIMENT ID	METHODS	Entrez GENE ID	COMMENTS
26	mirna	miR-182	Mus musculus	15	miRCURY LNA Array	387177	Clear hit to Entrez gene ID
27	mirna	miR-183	Mus musculus	15	miRCURY LNA Array	387178	Clear hit to Entrez gene ID
28	mirna	miR-184	Mus musculus	15	miRCURY LNA Array	387179	Clear hit to Entrez gene ID
29	mirna	miR-185	Mus musculus	15	miRCURY LNA Array	387180	Clear hit to Entrez gene ID
30	mirna	miR-191	Mus musculus	15	miRCURY LNA Array	387186	Clear hit to Entrez gene ID
31	mirna	miR-207	Mus musculus	15	miRCURY LNA Array	387203	Clear hit to Entrez gene ID
32	mirna	miR-20a	Mus musculus	15	miRCURY LNA Array	387139	Clear hit to Entrez gene ID
33	mirna	miR-21	Mus musculus	15	miRCURY LNA Array	387140	Clear hit to Entrez gene ID
34	mirna	miR-214	Mus musculus	15	miRCURY LNA Array	387210	Clear hit to Entrez gene ID
35	mirna	miR-222	Mus musculus	15	miRCURY LNA Array	723828	Clear hit to Entrez gene ID
36	mirna	miR-23a	Mus musculus	15	miRCURY LNA Array	387216	Clear hit to Entrez gene ID
37	mirna	miR-23b	Mus musculus	15	miRCURY LNA Array	72061	Clear hit to Entrez gene ID
38	mirna	miR-24	Mus musculus	15	miRCURY LNA Array	387142	Clear hit to Entrez gene ID
39	mirna	miR-26a	Mus musculus	15	miRCURY LNA Array	387218	Clear hit to Entrez gene ID
40	mirna	miR-27b	Mus musculus	15	miRCURY LNA Array	72061	Clear hit to Entrez gene ID
41	mirna	miR-290	Mus musculus	15	miRCURY LNA Array	100049710	Clear hit to Entrez gene ID
42	mirna	miR-291a-5p	Mus musculus	15	miRCURY LNA Array	100049715	Clear hit to Entrez gene ID
43	mirna	miR-291b-5p	Mus musculus	15	miRCURY LNA Array	100124471	Clear hit to Entrez gene ID
44	mirna	miR-292-5p	Mus musculus	15	miRCURY LNA Array	100049711	Clear hit to Entrez gene ID
45	mirna	miR-296	Mus musculus	15	miRCURY LNA Array	723906	Clear hit to Entrez gene ID
46	mirna	miR-298	Mus musculus	15	miRCURY LNA Array	723832	Clear hit to Entrez gene ID
47	mirna	miR-29a	Mus musculus	15	miRCURY LNA Array	387222	Clear hit to Entrez gene ID
48	mirna	miR-300	Mus musculus	15	miRCURY LNA Array	723833	Clear hit to Entrez gene ID
49	mirna	miR-30c	Mus musculus	15	miRCURY LNA Array	387227	Clear hit to Entrez gene ID
50	mirna	miR-320	Mus musculus	15	miRCURY LNA Array	723838	Clear hit to Entrez gene ID
51	mirna	miR-324-3p	Mus musculus	15	miRCURY LNA Array	723896	Clear hit to Entrez gene ID
52	mirna	miR-326	Mus musculus	15	miRCURY LNA Array	723840	Clear hit to Entrez gene ID
53	mirna	miR-329	Mus musculus	15	miRCURY LNA Array	723842	Clear hit to Entrez gene ID
54	mirna	miR-341	Mus musculus	15	miRCURY LNA Array	723846	Clear hit to Entrez gene ID
55	mirna	miR-351	Mus musculus	15	miRCURY LNA Array	72575	Clear hit to Entrez gene ID
56	mirna	miR-370	Mus musculus	15	miRCURY LNA Array	723854	Clear hit to Entrez gene ID
57	mirna	miR-381	Mus musculus	15	miRCURY LNA Array	723935	Clear hit to Entrez gene ID
58	mirna	miR-422b	Mus musculus	15	miRCURY LNA Array	NOTFOUND	NOTFOUND
59	mirna	miR-433-5p	Mus musculus	15	miRCURY LNA Array	723937	Clear hit to Entrez gene ID
60	mirna	miR-450	Mus musculus	15	miRCURY LNA Array	NOTFOUND	NOTFOUND
61	mirna	miR-451	Mus musculus	15	miRCURY LNA Array	723870	Clear hit to Entrez gene ID
62	mirna	miR-452	Mus musculus	15	miRCURY LNA Array	723919	Clear hit to Entrez gene ID
63	mirna	miR-468	Mus musculus	15	miRCURY LNA Array	723871	Clear hit to Entrez gene ID
64	mirna	miR-470	Mus musculus	15	miRCURY LNA Array	723873	Clear hit to Entrez gene ID
65	mirna	miR-494	Mus musculus	15	miRCURY LNA Array	723878	Clear hit to Entrez gene ID
66	mirna	miR-500	Mus musculus	15	miRCURY LNA Array	723974	Clear hit to Entrez gene ID
67	mirna	miR-503	Mus musculus	15	miRCURY LNA Array	72575	Clear hit to Entrez gene ID
68	mirna	miR-542-5p	Mus musculus	15	miRCURY LNA Array	723901	Clear hit to Entrez gene ID
69	mirna	miR-546	Mus musculus	15	miRCURY LNA Array	723882	Clear hit to Entrez gene ID
70	mirna	miR-96	Mus musculus	15	miRCURY LNA Array	723886	Clear hit to Entrez gene ID
71	mirna	U6-snRNA-1	Mus musculus	15	miRCURY LNA Array	NOTFOUND	NOTFOUND
72	mirna	U6-snRNA-2	Mus musculus	15	miRCURY LNA Array	NOTFOUND	NOTFOUND
73	mirna	let-7a	Homo sapiens	45	467microRNA Array	406881	Ambiguous mapping to Entrez gene ID
74	mirna	let-7a	Homo sapiens	45	467microRNA Array	406882	Ambiguous mapping to Entrez gene ID
75	mirna	let-7a	Homo sapiens	45	467microRNA Array	406883	Ambiguous mapping to Entrez gene ID
76	mirna	let-7b	Homo sapiens	45	467microRNA Array	406884	Clear hit to Entrez gene ID
77	mirna	let-7c	Homo sapiens	45	467microRNA Array	406885	Clear hit to Entrez gene ID
78	mirna	let-7d	Homo sapiens	45	467microRNA Array	406886	Clear hit to Entrez gene ID
79	mirna	let-7e	Homo sapiens	45	467microRNA Array	406887	Clear hit to Entrez gene ID
80	mirna	let-7f	Homo sapiens	45	467microRNA Array	406888	Ambiguous mapping to Entrez gene ID
81	mirna	let-7f	Homo sapiens	45	467microRNA Array	406889	Ambiguous mapping to Entrez gene ID
82	mirna	let-7g	Homo sapiens	45	467microRNA Array	406890	Clear hit to Entrez gene ID
83	mirna	let-7i	Homo sapiens	45	467microRNA Array	406891	Clear hit to Entrez gene ID
84	mirna	miR-100	Homo sapiens	45	467microRNA Array	406892	Clear hit to Entrez gene ID
85	mirna	miR-101	Homo sapiens	45	467microRNA Array	406893	Ambiguous mapping to Entrez gene ID
86	mirna	miR-101	Homo sapiens	45	467microRNA Array	406894	Ambiguous mapping to Entrez gene ID
87	mirna	miR-103	Homo sapiens	45	467microRNA Array	100302238	Ambiguous mapping to Entrez gene ID
88	mirna	miR-103	Homo sapiens	45	467microRNA Array	100302282	Ambiguous mapping to Entrez gene ID
89	mirna	miR-103	Homo sapiens	45	467microRNA Array	406895	Ambiguous mapping to Entrez gene ID
90	mirna	miR-103	Homo sapiens	45	467microRNA Array	406896	Ambiguous mapping to Entrez gene ID
91	mirna	miR-105	Homo sapiens	45	467microRNA Array	406897	Ambiguous mapping to Entrez gene ID
92	mirna	miR-105	Homo sapiens	45	467microRNA Array	406898	Ambiguous mapping to Entrez gene ID
93	mirna	miR-106a	Homo sapiens	45	467microRNA Array	406899	Clear hit to Entrez gene ID
94	mirna	miR-106b	Homo sapiens	45	467microRNA Array	406900	Clear hit to Entrez gene ID
95	mirna	miR-107	Homo sapiens	45	467microRNA Array	406901	Clear hit to Entrez gene ID
96	mirna	miR-10a	Homo sapiens	45	467microRNA Array	406902	Clear hit to Entrez gene ID
97	mirna	miR-10b	Homo sapiens	45	467microRNA Array	406903	Clear hit to Entrez gene ID
98	mirna	miR-122a	Homo sapiens	45	467microRNA Array	406906	Ambiguous mapping to Entrez gene ID
99	mirna	miR-125a	Homo sapiens	45	467microRNA Array	406910	Clear hit to Entrez gene ID
100	mirna	miR-125b	Homo sapiens	45	467microRNA Array	406911	Ambiguous mapping to Entrez gene ID
101	mirna	miR-125b	Homo sapiens	45	467microRNA Array	406912	Ambiguous mapping to Entrez gene ID
102	mirna	miR-126	Homo sapiens	45	467microRNA Array	406913	Clear hit to Entrez gene ID
103	mirna	miR-128a	Homo sapiens	45	467microRNA Array	406915	Ambiguous mapping to Entrez gene ID
104	mirna	miR-128b	Homo sapiens	45	467microRNA Array	406916	Clear hit to Entrez gene ID
105	mirna	miR-129	Homo sapiens	45	467microRNA Array	100302178	Ambiguous mapping to Entrez gene ID
106	mirna	miR-129	Homo sapiens	45	467microRNA Array	677815	Ambiguous mapping to Entrez gene ID
107	mirna	miR-130a	Homo sapiens	45	467microRNA Array	406919	Clear hit to Entrez gene ID
108	mirna	miR-130b	Homo sapiens	45	467microRNA Array	406920	Clear hit to Entrez gene ID
109	mirna	miR-133a	Homo sapiens	45	467microRNA Array	128826	Ambiguous mapping to Entrez gene ID
110	mirna	miR-135b	Homo sapiens	45	467microRNA Array	442891	Clear hit to Entrez gene ID
111	mirna	miR-136	Homo sapiens	45	467microRNA Array	406927	Clear hit to Entrez gene ID
112	mirna	miR-137	Homo sapiens	45	467microRNA Array	406928	Clear hit to Entrez gene ID
113	mirna	miR-138	Homo sapiens	45	467microRNA Array	406929	Ambiguous mapping to Entrez gene ID
114	mirna	miR-138	Homo sapiens	45	467microRNA Array	406930	Ambiguous mapping to Entrez gene ID
115	mirna	miR-140	Homo sapiens	45	467microRNA Array	406932	Clear hit to Entrez gene ID
116	mirna	miR-141	Homo sapiens	45	467microRNA Array	406933	Clear hit to Entrez gene ID
117	mirna	miR-146a	Homo sapiens	45	467microRNA Array	406938	Clear hit to Entrez gene ID
118	mirna	miR-146b	Homo sapiens	45	467microRNA Array	574447	Clear hit to Entrez gene ID
119	mirna	miR-147	Homo sapiens	45	467microRNA Array	406939	Ambiguous mapping to Entrez gene ID
120	mirna	miR-148a	Homo sapiens	45	467microRNA Array	406940	Clear hit to Entrez gene ID
121	mirna	miR-148b	Homo sapiens	45	467microRNA Array	442892	Clear hit to Entrez gene ID
122	mirna	miR-149	Homo sapiens	45	467microRNA Array	406941	Clear hit to Entrez gene ID
123	mirna	miR-150	Homo sapiens	45	467microRNA Array	406942	Clear hit to Entrez gene ID
124	mirna	miR-151	Homo sapiens	45	467microRNA Array	442893	Ambiguous mapping to Entrez gene ID
125	mirna	miR-152	Homo sapiens	45	467microRNA Array	406943	Clear hit to Entrez gene ID
126	mirna	miR-15b	Homo sapiens	45	467microRNA Array	406949	Clear hit to Entrez gene ID
127	mirna	miR-16	Homo sapiens	45	467microRNA Array	51573	Ambiguous mapping to Entrez gene ID
128	mirna	miR-17-3p	Homo sapiens	45	467microRNA Array	406952	Ambiguous mapping to Entrez gene ID
129	mirna	miR-17-5p	Homo sapiens	45	467microRNA Array	406952	Ambiguous mapping to Entrez gene ID
130	mirna	miR-181a	Homo sapiens	45	467microRNA Array	406954	Ambiguous mapping to Entrez gene ID
131	mirna	miR-181a	Homo sapiens	45	467microRNA Array	406995	Ambiguous mapping to Entrez gene ID
132	mirna	miR-181b	Homo sapiens	45	467microRNA Array	406955	Ambiguous mapping to Entrez gene ID
133	mirna	miR-181b	Homo sapiens	45	467microRNA Array	406956	Ambiguous mapping to Entrez gene ID
134	mirna	miR-181c	Homo sapiens	45	467microRNA Array	406957	Clear hit to Entrez gene ID
135	mirna	miR-181d	Homo sapiens	45	467microRNA Array	574457	Clear hit to Entrez gene ID
136	mirna	miR-182	Homo sapiens	45	467microRNA Array	406958	Clear hit to Entrez gene ID
137	mirna	miR-183	Homo sapiens	45	467microRNA Array	406959	Clear hit to Entrez gene ID
138	mirna	miR-185	Homo sapiens	45	467microRNA Array	406961	Clear hit to Entrez gene ID
139	mirna	miR-186	Homo sapiens	45	467microRNA Array	406962	Clear hit to Entrez gene ID
140	mirna	miR-187	Homo sapiens	45	467microRNA Array	406963	Clear hit to Entrez gene ID
141	mirna	miR-188	Homo sapiens	45	467microRNA Array	406964	Clear hit to Entrez gene ID
142	mirna	miR-18a	Homo sapiens	45	467microRNA Array	406953	Clear hit to Entrez gene ID
143	mirna	miR-18b	Homo sapiens	45	467microRNA Array	574033	Clear hit to Entrez gene ID
144	mirna	miR-190	Homo sapiens	45	467microRNA Array	406965	Clear hit to Entrez gene ID
145	mirna	miR-191	Homo sapiens	45	467microRNA Array	406966	Clear hit to Entrez gene ID
146	mirna	miR-192	Homo sapiens	45	467microRNA Array	406967	Clear hit to Entrez gene ID
147	mirna	miR-193a	Homo sapiens	45	467microRNA Array	406968	Clear hit to Entrez gene ID
148	mirna	miR-193b	Homo sapiens	45	467microRNA Array	574455	Clear hit to Entrez gene ID
149	mirna	miR-194	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
150	mirna	miR-196b	Homo sapiens	45	467microRNA Array	442920	Clear hit to Entrez gene ID
151	mirna	miR-197	Homo sapiens	45	467microRNA Array	406974	Clear hit to Entrez gene ID
152	mirna	miR-198	Homo sapiens	45	467microRNA Array	406975	Clear hit to Entrez gene ID
153	mirna	miR-19a	Homo sapiens	45	467microRNA Array	406979	Clear hit to Entrez gene ID
154	mirna	miR-19b	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
155	mirna	miR-200a	Homo sapiens	45	467microRNA Array	406983	Clear hit to Entrez gene ID
156	mirna	miR-200b	Homo sapiens	45	467microRNA Array	406984	Clear hit to Entrez gene ID
157	mirna	miR-200c	Homo sapiens	45	467microRNA Array	406985	Clear hit to Entrez gene ID
158	mirna	miR-202	Homo sapiens	45	467microRNA Array	574448	Clear hit to Entrez gene ID
159	mirna	miR-203	Homo sapiens	45	467microRNA Array	406986	Clear hit to Entrez gene ID
160	mirna	miR-205	Homo sapiens	45	467microRNA Array	406988	Clear hit to Entrez gene ID
161	mirna	miR-206	Homo sapiens	45	467microRNA Array	406989	Clear hit to Entrez gene ID
162	mirna	miR-20a	Homo sapiens	45	467microRNA Array	406982	Clear hit to Entrez gene ID
163	mirna	miR-20b	Homo sapiens	45	467microRNA Array	574032	Clear hit to Entrez gene ID
164	mirna	miR-21	Homo sapiens	45	467microRNA Array	406991	Clear hit to Entrez gene ID
165	mirna	miR-210	Homo sapiens	45	467microRNA Array	406992	Clear hit to Entrez gene ID
166	mirna	miR-214	Homo sapiens	45	467microRNA Array	406996	Clear hit to Entrez gene ID
167	mirna	miR-22	Homo sapiens	45	467microRNA Array	407004	Clear hit to Entrez gene ID
168	mirna	miR-220	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
169	mirna	miR-221	Homo sapiens	45	467microRNA Array	407006	Clear hit to Entrez gene ID
170	mirna	miR-222	Homo sapiens	45	467microRNA Array	407007	Clear hit to Entrez gene ID
171	mirna	miR-224	Homo sapiens	45	467microRNA Array	407009	Clear hit to Entrez gene ID
172	mirna	miR-23a	Homo sapiens	45	467microRNA Array	407010	Clear hit to Entrez gene ID
173	mirna	miR-23b	Homo sapiens	45	467microRNA Array	407011	Clear hit to Entrez gene ID
174	mirna	miR-24	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
175	mirna	miR-25	Homo sapiens	45	467microRNA Array	407014	Clear hit to Entrez gene ID
176	mirna	miR-26a	Homo sapiens	45	467microRNA Array	407015	Clear hit to Entrez gene ID
177	mirna	miR-26b	Homo sapiens	45	467microRNA Array	407017	Clear hit to Entrez gene ID
178	mirna	miR-27a	Homo sapiens	45	467microRNA Array	407018	Clear hit to Entrez gene ID
179	mirna	miR-27b	Homo sapiens	45	467microRNA Array	407019	Clear hit to Entrez gene ID
180	mirna	miR-28	Homo sapiens	45	467microRNA Array	407020	Clear hit to Entrez gene ID
181	mirna	miR-296	Homo sapiens	45	467microRNA Array	407022	Clear hit to Entrez gene ID
182	mirna	miR-29a	Homo sapiens	45	467microRNA Array	407021	Clear hit to Entrez gene ID
183	mirna	miR-29b	Homo sapiens	45	467microRNA Array	407024	Ambiguous mapping to Entrez gene ID
184	mirna	miR-29b	Homo sapiens	45	467microRNA Array	407025	Ambiguous mapping to Entrez gene ID
185	mirna	miR-301	Homo sapiens	45	467microRNA Array	407027	Clear hit to Entrez gene ID
186	mirna	miR-302a	Homo sapiens	45	467microRNA Array	407028	Clear hit to Entrez gene ID
187	mirna	miR-30a-3p	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
188	mirna	miR-30a-5p	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
189	mirna	miR-30b	Homo sapiens	45	467microRNA Array	407030	Clear hit to Entrez gene ID
190	mirna	miR-30c	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
191	mirna	miR-30d	Homo sapiens	45	467microRNA Array	407033	Clear hit to Entrez gene ID
192	mirna	miR-30e-3p	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
193	mirna	miR-31	Homo sapiens	45	467microRNA Array	407035	Clear hit to Entrez gene ID
194	mirna	miR-320	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
195	mirna	miR-324-3p	Homo sapiens	45	467microRNA Array	442898	Clear hit to Entrez gene ID
196	mirna	miR-324-5p	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
197	mirna	miR-328	Homo sapiens	45	467microRNA Array	442901	Clear hit to Entrez gene ID
198	mirna	miR-331	Homo sapiens	45	467microRNA Array	442903	Clear hit to Entrez gene ID
199	mirna	miR-335	Homo sapiens	45	467microRNA Array	442904	Clear hit to Entrez gene ID
200	mirna	miR-339	Homo sapiens	45	467microRNA Array	442907	Clear hit to Entrez gene ID
201	mirna	miR-342	Homo sapiens	45	467microRNA Array	442909	Clear hit to Entrez gene ID
202	mirna	miR-345	Homo sapiens	45	467microRNA Array	442910	Clear hit to Entrez gene ID
203	mirna	miR-346	Homo sapiens	45	467microRNA Array	442911	Clear hit to Entrez gene ID
204	mirna	miR-34a	Homo sapiens	45	467microRNA Array	407040	Clear hit to Entrez gene ID
205	mirna	miR-361	Homo sapiens	45	467microRNA Array	494323	Clear hit to Entrez gene ID
206	mirna	miR-362	Homo sapiens	45	467microRNA Array	574030	Clear hit to Entrez gene ID
207	mirna	miR-365	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
208	mirna	miR-369-3p	Homo sapiens	45	467microRNA Array	442914	Clear hit to Entrez gene ID
209	mirna	miR-370	Homo sapiens	45	467microRNA Array	442915	Clear hit to Entrez gene ID
210	mirna	miR-371	Homo sapiens	45	467microRNA Array	442916	Clear hit to Entrez gene ID
211	mirna	miR-373	Homo sapiens	45	467microRNA Array	442918	Clear hit to Entrez gene ID
212	mirna	miR-375	Homo sapiens	45	467microRNA Array	494324	Clear hit to Entrez gene ID
213	mirna	miR-421	Homo sapiens	45	467microRNA Array	693122	Clear hit to Entrez gene ID
214	mirna	miR-422a	Homo sapiens	45	467microRNA Array	494334	Clear hit to Entrez gene ID
215	mirna	miR-422b	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
216	mirna	miR-423	Homo sapiens	45	467microRNA Array	494335	Clear hit to Entrez gene ID
217	mirna	miR-424	Homo sapiens	45	467microRNA Array	494336	Clear hit to Entrez gene ID
218	mirna	miR-425-3p	Homo sapiens	45	467microRNA Array	494337	Clear hit to Entrez gene ID
219	mirna	miR-425-5p	Homo sapiens	45	467microRNA Array	494337	Clear hit to Entrez gene ID
220	mirna	miR-429	Homo sapiens	45	467microRNA Array	554210	Clear hit to Entrez gene ID
221	mirna	miR-432	Homo sapiens	45	467microRNA Array	574451	Clear hit to Entrez gene ID
222	mirna	miR-452	Homo sapiens	45	467microRNA Array	574412	Clear hit to Entrez gene ID
223	mirna	miR-453	Homo sapiens	45	467microRNA Array	574410	Clear hit to Entrez gene ID
224	mirna	miR-454-3p	Homo sapiens	45	467microRNA Array	768216	Clear hit to Entrez gene ID
225	mirna	miR-454-5p	Homo sapiens	45	467microRNA Array	768216	Clear hit to Entrez gene ID
226	mirna	miR-483	Homo sapiens	45	467microRNA Array	619552	Clear hit to Entrez gene ID
227	mirna	miR-484	Homo sapiens	45	467microRNA Array	619553	Clear hit to Entrez gene ID
228	mirna	miR-485-5p	Homo sapiens	45	467microRNA Array	574436	Clear hit to Entrez gene ID
229	mirna	miR-486	Homo sapiens	45	467microRNA Array	619554	Clear hit to Entrez gene ID
230	mirna	miR-487b	Homo sapiens	45	467microRNA Array	664616	Clear hit to Entrez gene ID
231	mirna	miR-494	Homo sapiens	45	467microRNA Array	574452	Clear hit to Entrez gene ID
232	mirna	miR-500	Homo sapiens	45	467microRNA Array	574502	Clear hit to Entrez gene ID
233	mirna	miR-502	Homo sapiens	45	467microRNA Array	574504	Clear hit to Entrez gene ID
234	mirna	miR-505	Homo sapiens	45	467microRNA Array	574508	Clear hit to Entrez gene ID
235	mirna	miR-512-3p	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
236	mirna	miR-513	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
237	mirna	miR-517c	Homo sapiens	45	467microRNA Array	574492	Clear hit to Entrez gene ID
238	mirna	miR-519b	Homo sapiens	45	467microRNA Array	574469	Clear hit to Entrez gene ID
239	mirna	miR-521	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
240	mirna	miR-522	Homo sapiens	45	467microRNA Array	574495	Clear hit to Entrez gene ID
241	mirna	miR-526a	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
242	mirna	miR-527	Homo sapiens	45	467microRNA Array	574497	Clear hit to Entrez gene ID
243	mirna	miR-532	Homo sapiens	45	467microRNA Array	693124	Clear hit to Entrez gene ID
244	mirna	miR-550	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
245	mirna	miR-557	Homo sapiens	45	467microRNA Array	693142	Clear hit to Entrez gene ID
246	mirna	miR-565	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
247	mirna	miR-571	Homo sapiens	45	467microRNA Array	693156	Clear hit to Entrez gene ID
248	mirna	miR-574	Homo sapiens	45	467microRNA Array	693159	Clear hit to Entrez gene ID
249	mirna	miR-578	Homo sapiens	45	467microRNA Array	693163	Clear hit to Entrez gene ID
250	mirna	miR-582	Homo sapiens	45	467microRNA Array	693167	Clear hit to Entrez gene ID
251	mirna	miR-584	Homo sapiens	45	467microRNA Array	693169	Clear hit to Entrez gene ID
252	mirna	miR-585	Homo sapiens	45	467microRNA Array	693170	Clear hit to Entrez gene ID
253	mirna	miR-590	Homo sapiens	45	467microRNA Array	693175	Clear hit to Entrez gene ID
254	mirna	miR-593	Homo sapiens	45	467microRNA Array	693178	Clear hit to Entrez gene ID
255	mirna	miR-594	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
256	mirna	miR-595	Homo sapiens	45	467microRNA Array	693180	Clear hit to Entrez gene ID
257	mirna	miR-603	Homo sapiens	45	467microRNA Array	693188	Clear hit to Entrez gene ID
258	mirna	miR-608	Homo sapiens	45	467microRNA Array	693193	Clear hit to Entrez gene ID
259	mirna	miR-612	Homo sapiens	45	467microRNA Array	693197	Clear hit to Entrez gene ID
260	mirna	miR-625	Homo sapiens	45	467microRNA Array	693210	Clear hit to Entrez gene ID
261	mirna	miR-628	Homo sapiens	45	467microRNA Array	693213	Clear hit to Entrez gene ID
262	mirna	miR-629	Homo sapiens	45	467microRNA Array	693214	Clear hit to Entrez gene ID
263	mirna	miR-634	Homo sapiens	45	467microRNA Array	693219	Clear hit to Entrez gene ID
264	mirna	miR-637	Homo sapiens	45	467microRNA Array	693222	Clear hit to Entrez gene ID
265	mirna	miR-638	Homo sapiens	45	467microRNA Array	693223	Clear hit to Entrez gene ID
266	mirna	miR-642	Homo sapiens	45	467microRNA Array	693227	Clear hit to Entrez gene ID
267	mirna	miR-645	Homo sapiens	45	467microRNA Array	693230	Clear hit to Entrez gene ID
268	mirna	miR-647	Homo sapiens	45	467microRNA Array	693232	Clear hit to Entrez gene ID
269	mirna	miR-649	Homo sapiens	45	467microRNA Array	693234	Clear hit to Entrez gene ID
270	mirna	miR-652	Homo sapiens	45	467microRNA Array	724022	Clear hit to Entrez gene ID
271	mirna	miR-660	Homo sapiens	45	467microRNA Array	724030	Clear hit to Entrez gene ID
272	mirna	miR-663	Homo sapiens	45	467microRNA Array	724033	Clear hit to Entrez gene ID
273	mirna	miR-671	Homo sapiens	45	467microRNA Array	768213	Clear hit to Entrez gene ID
274	mirna	miR-765	Homo sapiens	45	467microRNA Array	768220	Clear hit to Entrez gene ID
275	mirna	miR-766	Homo sapiens	45	467microRNA Array	768218	Clear hit to Entrez gene ID
276	mirna	miR-768-3p	Homo sapiens	45	467microRNA Array	692111	Clear hit to Entrez gene ID
277	mirna	miR-768-5p	Homo sapiens	45	467microRNA Array	692111	Clear hit to Entrez gene ID
278	mirna	miR-769-3p	Homo sapiens	45	467microRNA Array	768217	Clear hit to Entrez gene ID
279	mirna	miR-769-5p	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
280	mirna	miR-801	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
281	mirna	miR-9	Homo sapiens	45	467microRNA Array	406952	Ambiguous mapping to Entrez gene ID
282	mirna	miR-9	Homo sapiens	45	467microRNA Array	407048	Ambiguous mapping to Entrez gene ID
283	mirna	miR-92	Homo sapiens	45	467microRNA Array	NOTFOUND	NOTFOUND
284	mirna	miR-92b	Homo sapiens	45	467microRNA Array	693235	Clear hit to Entrez gene ID
285	mirna	miR-93	Homo sapiens	45	467microRNA Array	407050	Clear hit to Entrez gene ID
286	mirna	miR-95	Homo sapiens	45	467microRNA Array	407052	Clear hit to Entrez gene ID
