CONTENT ID	CONTENT TYPE	LIPID ID	SPECIES	EXPERIMENT ID	METHODS
23	lipid	FA20:2?6	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
24	lipid	FA20:3?6	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
25	lipid	FA20:4?6	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
26	lipid	FA20:5?6	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
27	lipid	FA22:6?3	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
28	lipid	Prostaglandin 15d-PGJ2	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
29	lipid	Prostaglandin 15-deoxy-?12	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
30	lipid	Prostaglandin 14-PGJ2	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
31	lipid	Prostaglandin PGF2a	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
32	lipid	Prostaglandin PGE2	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
33	lipid	Prostaglandin PGD2	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
34	lipid	Prostaglandin F2a	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
35	lipid	Prostaglandin E2	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
36	lipid	Prostaglandin D2	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
37	lipid	Phosphatidylcholine (PC)	Rattus norvegicus	127	Gas-liquid chromatography|High performance thin layer chromatography
38	lipid	Phosphatidylethanolamine (PE)	Rattus norvegicus	127	Gas-liquid chromatography|High performance thin layer chromatography
39	lipid	Phosphatidylinositol (PI)	Rattus norvegicus	127	Gas-liquid chromatography|High performance thin layer chromatography
40	lipid	Phosphatidylserine (PS)	Rattus norvegicus	127	Gas-liquid chromatography|High performance thin layer chromatography
41	lipid	Cholesterol (Chol)	Rattus norvegicus	127	Gas-liquid chromatography|High performance thin layer chromatography
42	lipid	Cholesterol esters	Rattus norvegicus	127	Gas-liquid chromatography|High performance thin layer chromatography
43	lipid	Ceramide (Cer)	Rattus norvegicus	127	Gas-liquid chromatography|High performance thin layer chromatography
44	lipid	Sphingomyelin (SM)	Rattus norvegicus	127	Gas-liquid chromatography|High performance thin layer chromatography
45	lipid	Lysophosphatidylcholine (LPC)	Homo sapiens	128	HPLC|Gas chromatography
46	lipid	Sphingomyelin (SM)	Homo sapiens	128	HPLC|Gas chromatography
47	lipid	Phosphatidylcholine (PC)	Homo sapiens	128	HPLC|Gas chromatography
48	lipid	Phosphatidylinositol (PI)	Homo sapiens	128	HPLC|Gas chromatography
49	lipid	Phosphatidylserine (PS)	Homo sapiens	128	HPLC|Gas chromatography
50	lipid	Phosphatidylethanolamine (PE)	Homo sapiens	128	HPLC|Gas chromatography
51	lipid	Cholesterol (Chol)	Homo sapiens	128	HPLC|Gas chromatography
52	lipid	Diacylglycerol (DG)	Homo sapiens	128	HPLC|Gas chromatography
53	lipid	Lysophosphatidylcholine	Rattus norvegicus	129	HPLC|Gas chromatography
54	lipid	Sphingomyelin (SM)	Rattus norvegicus	129	HPLC|Gas chromatography
55	lipid	Phosphatidylcholine (PC)	Rattus norvegicus	129	HPLC|Gas chromatography
56	lipid	Phosphatidylinositol (PI)	Rattus norvegicus	129	HPLC|Gas chromatography
57	lipid	Phosphatidylserine (PS)	Rattus norvegicus	129	HPLC|Gas chromatography
58	lipid	Phosphatidylethanolamine (PE)	Rattus norvegicus	129	HPLC|Gas chromatography
59	lipid	Cholesterol (Chol)	Rattus norvegicus	129	HPLC|Gas chromatography
60	lipid	Diacylglycerol (DG)	Rattus norvegicus	129	HPLC|Gas chromatography
61	lipid	Diacyl phosphatidylcholine (DA-PC)	Rattus norvegicus	129	HPLC|Gas chromatography
62	lipid	Alkyl-acyl phosphatidylcholine (AA-PC)	Rattus norvegicus	129	HPLC|Gas chromatography
63	lipid	Alkenyl-acyl phosphatidylcholine (AeA-PC)	Rattus norvegicus	129	HPLC|Gas chromatography
64	lipid	Diacyl phosphatidylethanolamine (DA-PE)	Rattus norvegicus	129	HPLC|Gas chromatography
65	lipid	Alkyl-acyl phosphatidylethanolamine (AA-PE)	Rattus norvegicus	129	HPLC|Gas chromatography
66	lipid	Alkenyl-acyl phosphatidylethanolamine (AeA-PE)	Rattus norvegicus	129	HPLC|Gas chromatography
67	lipid	PC18:1/22:6	Rattus norvegicus	129	HPLC|Gas chromatography
68	lipid	PC16:0/20:5	Rattus norvegicus	129	HPLC|Gas chromatography
69	lipid	PC16:0/22:6	Rattus norvegicus	129	HPLC|Gas chromatography
70	lipid	PC18:2/18:2	Rattus norvegicus	129	HPLC|Gas chromatography
71	lipid	PC18:1/20:4	Rattus norvegicus	129	HPLC|Gas chromatography
72	lipid	PC16:0/20:4	Rattus norvegicus	129	HPLC|Gas chromatography
73	lipid	PC18:1/22:5	Rattus norvegicus	129	HPLC|Gas chromatography
74	lipid	PC18:1/18:2	Rattus norvegicus	129	HPLC|Gas chromatography
75	lipid	PC18:0/22:6	Rattus norvegicus	129	HPLC|Gas chromatography
76	lipid	PC16:0/18:2	Rattus norvegicus	129	HPLC|Gas chromatography
77	lipid	PC16:1/18:1	Rattus norvegicus	129	HPLC|Gas chromatography
78	lipid	PC16:0/22:4	Rattus norvegicus	129	HPLC|Gas chromatography
79	lipid	PC16:0/20:3n6	Rattus norvegicus	129	HPLC|Gas chromatography
80	lipid	PC18:0/22:5n3	Rattus norvegicus	129	HPLC|Gas chromatography
81	lipid	PC16:0/20:3n9	Rattus norvegicus	129	HPLC|Gas chromatography
82	lipid	PC18:0/20:4	Rattus norvegicus	129	HPLC|Gas chromatography
83	lipid	PC18:0/22:5n6	Rattus norvegicus	129	HPLC|Gas chromatography
84	lipid	PC18:1/18:1	Rattus norvegicus	129	HPLC|Gas chromatography
85	lipid	PC16:0/18:1	Rattus norvegicus	129	HPLC|Gas chromatography
86	lipid	PC18:0/18:2	Rattus norvegicus	129	HPLC|Gas chromatography
87	lipid	PC16:0/16:0	Rattus norvegicus	129	HPLC|Gas chromatography
88	lipid	PC18:0/20:3	Rattus norvegicus	129	HPLC|Gas chromatography
89	lipid	PC18:0/20:2	Rattus norvegicus	129	HPLC|Gas chromatography
90	lipid	PC18:1/20:1	Rattus norvegicus	129	HPLC|Gas chromatography
91	lipid	PC18:0/18:1	Rattus norvegicus	129	HPLC|Gas chromatography
92	lipid	PC16:0/20:1	Rattus norvegicus	129	HPLC|Gas chromatography
93	lipid	PC16:0/18:0	Rattus norvegicus	129	HPLC|Gas chromatography
94	lipid	PE18:1/22:6	Rattus norvegicus	129	HPLC|Gas chromatography
95	lipid	PE16:0/20:5	Rattus norvegicus	129	HPLC|Gas chromatography
96	lipid	PE16:0/22:6	Rattus norvegicus	129	HPLC|Gas chromatography
97	lipid	PE18:2/18:2	Rattus norvegicus	129	HPLC|Gas chromatography
98	lipid	PE18:1/20:4	Rattus norvegicus	129	HPLC|Gas chromatography
99	lipid	PE16:0/20:4	Rattus norvegicus	129	HPLC|Gas chromatography
100	lipid	PE18:1/22:5	Rattus norvegicus	129	HPLC|Gas chromatography
101	lipid	PE18:1/18:2	Rattus norvegicus	129	HPLC|Gas chromatography
102	lipid	PE18:0/22:6	Rattus norvegicus	129	HPLC|Gas chromatography
103	lipid	PE16:0/18:2	Rattus norvegicus	129	HPLC|Gas chromatography
104	lipid	PE16:1/18:1	Rattus norvegicus	129	HPLC|Gas chromatography
105	lipid	PE16:0/22:4	Rattus norvegicus	129	HPLC|Gas chromatography
106	lipid	PE16:0/20:3n6	Rattus norvegicus	129	HPLC|Gas chromatography
107	lipid	PE18:0/22:5n3	Rattus norvegicus	129	HPLC|Gas chromatography
108	lipid	PE16:0/20:3n9	Rattus norvegicus	129	HPLC|Gas chromatography
109	lipid	PE18:0/20:4	Rattus norvegicus	129	HPLC|Gas chromatography
110	lipid	PE18:0/22:5n6	Rattus norvegicus	129	HPLC|Gas chromatography
111	lipid	PE18:1/18:1	Rattus norvegicus	129	HPLC|Gas chromatography
112	lipid	PE16:0/18:1	Rattus norvegicus	129	HPLC|Gas chromatography
113	lipid	PE18:0/18:2	Rattus norvegicus	129	HPLC|Gas chromatography
114	lipid	PE16:0/16:0	Rattus norvegicus	129	HPLC|Gas chromatography
115	lipid	PE18:0/20:3	Rattus norvegicus	129	HPLC|Gas chromatography
116	lipid	PE18:0/20:2	Rattus norvegicus	129	HPLC|Gas chromatography
117	lipid	PE18:1/20:1	Rattus norvegicus	129	HPLC|Gas chromatography
118	lipid	PE18:0/18:1	Rattus norvegicus	129	HPLC|Gas chromatography
119	lipid	PE16:0/20:1	Rattus norvegicus	129	HPLC|Gas chromatography
120	lipid	PE16:0/18:0	Rattus norvegicus	129	HPLC|Gas chromatography
121	lipid	Cholesterol (Chol)	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
122	lipid	PI18:0/20:3 	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
123	lipid	PI18:0/20:4 	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
124	lipid	PI18:0/18:1 	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
125	lipid	PI18:1/18:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
126	lipid	PI18:0/16:0 	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
127	lipid	PA18:0/18:1 	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
128	lipid	PS18:0/18:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
129	lipid	BMP18:0/18:1 	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
130	lipid	BMP18:1/18:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
131	lipid	BMP18:1/16:0 	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
132	lipid	CL(18:1)3/16:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
133	lipid	CL(18:1)2/(16:1)2	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
134	lipid	Ganglioside GM3 24:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
135	lipid	Ganglioside GM3 16:0	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
136	lipid	PE40:5	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
137	lipid	PE40:6	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
138	lipid	PE38:3	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
139	lipid	PE38:4	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
140	lipid	PE36:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
141	lipid	PE36:2	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
142	lipid	PE34:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
143	lipid	PE34:2	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
144	lipid	PE-ether38:5	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
145	lipid	PE-ether38:6	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
146	lipid	PE-ether34:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
147	lipid	PE-ether34:2	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
148	lipid	PC34:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
149	lipid	PC36:4	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
150	lipid	PC34:3	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
151	lipid	PC32:0	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
152	lipid	PC30:0	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
153	lipid	SM24:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
154	lipid	SM16:0	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
155	lipid	Dihydrosphingomyelin16:0	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
156	lipid	Phosphatidylethanolamine (PE)	Ovis aries	2	Thin layer chromatography
157	lipid	Phosphatidylcholine (PC)	Ovis aries	2	Thin layer chromatography
158	lipid	Sphingomyelin (SM)	Ovis aries	2	Thin layer chromatography
159	lipid	Phosphatidylserine (PS)	Ovis aries	2	Thin layer chromatography
160	lipid	Phosphatidic acid (PA)	Ovis aries	2	Thin layer chromatography
161	lipid	Sphingomyelin (SM)	Mus musculus	130	Mass spectrometry [QTOF]
162	lipid	Phosphatidylethanolamine (PE)	Mus musculus	130	Mass spectrometry [QTOF]
163	lipid	Phosphatidylserine (PS)	Mus musculus	130	Mass spectrometry [QTOF]
164	lipid	Cholesterol (Chol)	Mus musculus	130	Mass spectrometry [QTOF]
165	lipid	Ceramide (Cer)	Mus musculus	130	Mass spectrometry [QTOF]
166	lipid	Hexosylceramide (HC)	Mus musculus	130	Mass spectrometry [QTOF]
167	lipid	Phosphatidylcholine (PC)	Mus musculus	130	Mass spectrometry [QTOF]
168	lipid	PC30:2	Mus musculus	130	Mass spectrometry [QTOF]
169	lipid	PC30:0	Mus musculus	130	Mass spectrometry [QTOF]
170	lipid	PC32:1	Mus musculus	130	Mass spectrometry [QTOF]
171	lipid	PC34:4	Mus musculus	130	Mass spectrometry [QTOF]
172	lipid	PC34:2	Mus musculus	130	Mass spectrometry [QTOF]
173	lipid	PC34:0	Mus musculus	130	Mass spectrometry [QTOF]
174	lipid	PC36:4	Mus musculus	130	Mass spectrometry [QTOF]
175	lipid	PC36:2	Mus musculus	130	Mass spectrometry [QTOF]
176	lipid	PC36:0	Mus musculus	130	Mass spectrometry [QTOF]
177	lipid	PC38:6	Mus musculus	130	Mass spectrometry [QTOF]
178	lipid	PC38:4	Mus musculus	130	Mass spectrometry [QTOF]
179	lipid	PC38:2	Mus musculus	130	Mass spectrometry [QTOF]
180	lipid	PC38:0	Mus musculus	130	Mass spectrometry [QTOF]
181	lipid	PC40:7	Mus musculus	130	Mass spectrometry [QTOF]
182	lipid	PC40:5	Mus musculus	130	Mass spectrometry [QTOF]
183	lipid	Phosphatidylserine (PS)	Homo sapiens	131	Cytofluorographic analysis|Annexin-V-FITC
184	lipid	Phosphatidylserine (PS)	Homo sapiens	132	Cytofluorographic analysis|Annexin-V-FITC
185	lipid	Phosphatidylserine (PS)	Homo sapiens	133	Cytofluorographic analysis|Annexin-V-FITC
186	lipid	Phosphatidylcholine (PC)	Rattus norvegicus	134	Cytofluorographic analysis|Annexin-V-FITC
187	lipid	Phosphatidylethanolamine (PE)	Rattus norvegicus	134	Cytofluorographic analysis|Annexin-V-FITC
188	lipid	Diacylglycerol (DG)	Rattus norvegicus	134	Cytofluorographic analysis|Annexin-V-FITC
189	lipid	Phosphatidylcholine (PC)	Cavia porcellus	135	Thin layer chromatography
190	lipid	Phosphatidylserine (PS)	Cavia porcellus	135	Thin layer chromatography
191	lipid	Phosphatidylethanolamine (PE)	Cavia porcellus	135	Thin layer chromatography
192	lipid	Sphingomyelin (SM)	Cavia porcellus	135	Thin layer chromatography
193	lipid	Phosphatidylinositol (PI)	Cavia porcellus	135	Thin layer chromatography
194	lipid	Cholesterol (Chol)	Cavia porcellus	135	Thin layer chromatography
195	lipid	8-iso-PG-F2a	Homo sapiens	152	FACS
196	lipid	Phosphatidylserine (PS)	Homo sapiens	221	Immunoaffinity
197	lipid	Phosphatidylserine (PS)	Homo sapiens	232	Thin layer chromatography|Cytofluorographic analysis
198	lipid	Phosphatidylcholine (PC)	Homo sapiens	232	Thin layer chromatography|Cytofluorographic analysis
199	lipid	Phosphatidylethanolamine (PE)	Homo sapiens	232	Thin layer chromatography|Cytofluorographic analysis
200	lipid	Lysophosphatidylcholine (LPC)	Homo sapiens	233	Thin layer chromatography|Cytofluorographic analysis
201	lipid	Lysophosphatidic acid (LPA)	Homo sapiens	233	Thin layer chromatography|Cytofluorographic analysis
202	lipid	Sphingosine (SPH)	Homo sapiens	233	Thin layer chromatography|Cytofluorographic analysis
203	lipid	Phosphatidylserine (PS)	Homo sapiens	233	Thin layer chromatography|Cytofluorographic analysis
204	lipid	Phosphatidylcholine (PC)	Homo sapiens	233	Thin layer chromatography|Cytofluorographic analysis
205	lipid	Phosphatidylethanolamine (PE)	Homo sapiens	233	Thin layer chromatography|Cytofluorographic analysis
206	lipid	Arachidonic acid (?-6)	Homo sapiens	242	HPLC
207	lipid	Pentafluorobenzyl ester derivative	Homo sapiens	242	Mass spectrometry 
208	lipid	Phosphatidylserine (PS)	Homo sapiens	261	Annexin V-FITC 
209	lipid	Amino phospholipids	Homo sapiens	272	Annexin V-FITC 
210	lipid	Phosphatidylserine (PS)	Homo sapiens	278	Annexin V-FITC 
211	lipid	Phosphatidylserine (PS)	Homo sapiens	250	Annexin V-FITC 
212	lipid	Phosphatidylserine (PS)	Homo sapiens	251	Annexin V-FITC 
213	lipid	Phosphatidylserine (PS)	Homo sapiens	262	Annexin V-FITC 
214	lipid	Phosphatidylserine (PS)	Homo sapiens	288	Annexin V-FITC 
215	lipid	Phosphatidylserine (PS)	Homo sapiens	289	Annexin V-FITC 
216	lipid	Phosphatidylserine (PS)	Homo sapiens	290	Annexin V-FITC 
217	lipid	Phosphatidylserine (PS)	Homo sapiens	240	Annexin V-FITC 
218	lipid	Phosphatidylserine (PS)	Homo sapiens	295	Annexin V-FITC 
219	lipid	Lysophosphatidylcholine	Homo sapiens	365	TLC
220	lipid	Sphingomyelin	Homo sapiens	365	TLC
221	lipid	Phosphatidylcholine	Homo sapiens	365	TLC
222	lipid	Lysophosphatidylserine	Homo sapiens	365	TLC
223	lipid	Lysophosphatidylethanolamine	Homo sapiens	365	TLC
224	lipid	Phosphatidylserine	Homo sapiens	365	TLC
225	lipid	Phosphatidylinositol	Homo sapiens	365	TLC
226	lipid	Phosphatidylethanolamine	Homo sapiens	365	TLC
227	lipid	Sphingomyelin	Homo sapiens	366	TLC
228	lipid	Sphingosine-1-phosphate	Homo sapiens	366	TLC
229	lipid	Fatty acid 6:0	Bacillus anthracis	417	GC
230	lipid	Fatty acid 8:0	Bacillus anthracis	417	GC
231	lipid	Fatty acid 10:0	Bacillus anthracis	417	GC
232	lipid	Fatty acid 11C:0	Bacillus anthracis	417	GC
233	lipid	Fatty acid 12:0*	Bacillus anthracis	417	GC
234	lipid	Fatty acid 13C:0*	Bacillus anthracis	417	GC
235	lipid	Fatty acid 14:0*	Bacillus anthracis	417	GC
236	lipid	Fatty acid 14:1(cis-9)*	Bacillus anthracis	417	GC
237	lipid	Fatty acid 15:0*	Bacillus anthracis	417	GC
238	lipid	Fatty acid 16:0*	Bacillus anthracis	417	GC
239	lipid	Fatty acid 16:1(cis-9)*	Bacillus anthracis	417	GC
240	lipid	Fatty acid 18:0*	Bacillus anthracis	417	GC
241	lipid	Fatty acid 20:0	Bacillus anthracis	417	GC
242	lipid	Fatty acid 22:0	Bacillus anthracis	417	GC
243	lipid	Fatty acid 20:3(cis-8,11,14)	Bacillus anthracis	417	GC
244	lipid	Fatty acid 23:0	Bacillus anthracis	417	GC
245	lipid	Phosphatidylinositolphosphate; C=44; DB=9	Homo sapiens	450	Mass spectrometry
246	lipid	Lysophosphatidylethanolamine(20:4/0:0)	Homo sapiens	450	Mass spectrometry
247	lipid	Lysophosphatidylethanolamine(20:5/0:0)	Homo sapiens	450	Mass spectrometry
248	lipid	Lysophosphatidylethanolamine(18:2/0:0)	Homo sapiens	450	Mass spectrometry
249	lipid	Diacylglycerol; C= 38; DB= 5/6	Homo sapiens	450	Mass spectrometry
250	lipid	Phosphatidylethanolamine; C=38; DB=5 / PC; C=35; DB=5	Homo sapiens	450	Mass spectrometry
251	lipid	Phosphatidylcholine; C=36; DB= 1 / PE; C=39; DB=1	Homo sapiens	450	Mass spectrometry
252	lipid	Sphingolipid	Homo sapiens	450	Mass spectrometry
253	lipid	Phosphatidic acid; C=27; DB=2	Homo sapiens	450	Mass spectrometry
254	lipid	Phosphatidic acid; C=30; DB=0	Homo sapiens	450	Mass spectrometry
255	lipid	Phosphatidylcholine; C=38; DB=6 / PE; C=41;DB=6	Homo sapiens	450	Mass spectrometry
256	lipid	Lysophosphatidylethanolamine; C=20; DB=2 / LysoPC; C=17; DB=2	Homo sapiens	450	Mass spectrometry
257	lipid	Lysophosphatidylglycerol(10:0/0:0)	Homo sapiens	450	Mass spectrometry
258	lipid	Lysophosphatidylinositol(20:4/0:0)	Homo sapiens	450	Mass spectrometry
259	lipid	Dihydroxyacetone phosphate (18:0)	Homo sapiens	450	Mass spectrometry
260	lipid	20-Carboxyleukotriene B4	Homo sapiens	450	Mass spectrometry
261	lipid	Lysophosphatidylethanolamine(18:3/0:0)	Homo sapiens	450	Mass spectrometry
262	lipid	Phosphatidylinositolphosphate; C=36; DB=1	Homo sapiens	450	Mass spectrometry
263	lipid	Ceramide (d18:1/9Z-18:1)	Homo sapiens	450	Mass spectrometry
264	lipid	Eicosenoic acid	Homo sapiens	450	Mass spectrometry
265	lipid	2-Phenylaminoadenosine	Homo sapiens	450	Mass spectrometry
266	lipid	Lysophosphatidic acid(14:1(9Z)/0:0)	Homo sapiens	450	Mass spectrometry
267	lipid	Lysophosphatidic acid(14:0/0:0)	Homo sapiens	450	Mass spectrometry
268	lipid	Lysophosphatidylserine(15:0/0:0)	Homo sapiens	450	Mass spectrometry
269	lipid	Lysophosphatidylserine(P-20:0/0:0)	Homo sapiens	450	Mass spectrometry
270	lipid	GlcAbeta-Cer(d18:1/18:0)	Homo sapiens	450	Mass spectrometry
271	lipid	Ganglioside GD3 (d18:1/23:0)	Homo sapiens	450	Mass spectrometry
272	lipid	Ganglioside GT1b (d18:1/12:0) Ganglioside GT1c (d18:1/12:0)	Homo sapiens	450	Mass spectrometry
273	lipid	Phosphatidic acid; C=28	Homo sapiens	450	Mass spectrometry
274	lipid	Phosphatidic acid (P-16:0/20:5)	Homo sapiens	450	Mass spectrometry
275	lipid	Phosphatidylethanolamine; C=32; DB=2	Homo sapiens	450	Mass spectrometry
276	lipid	Phosphatidylglycerol; C=35; DB= 4	Homo sapiens	450	Mass spectrometry
277	lipid	Phosphatidylcholine; C=46; DB=5	Homo sapiens	450	Mass spectrometry
278	lipid	Triglyceride; C=59; DB=12	Homo sapiens	450	Mass spectrometry
279	lipid	Phosphatidylinositolphosphate; C=44; DB=9	Homo sapiens	451	Mass spectrometry
280	lipid	Lysophosphatidylethanolamine(20:4/0:0)	Homo sapiens	451	Mass spectrometry
281	lipid	Lysophosphatidylethanolamine(20:5/0:0)	Homo sapiens	451	Mass spectrometry
282	lipid	Lysophosphatidylethanolamine(18:2/0:0)	Homo sapiens	451	Mass spectrometry
283	lipid	Diacylglycerol; C= 38; DB= 5/6	Homo sapiens	451	Mass spectrometry
284	lipid	Phosphatidylethanolamine; C=38; DB=5 / PC; C=35; DB=5	Homo sapiens	451	Mass spectrometry
285	lipid	Phosphatidylcholine; C=36; DB= 1 / PE; C=39; DB=1	Homo sapiens	451	Mass spectrometry
286	lipid	Sphingolipid	Homo sapiens	451	Mass spectrometry
287	lipid	Phosphatidic acid; C=27; DB=2	Homo sapiens	451	Mass spectrometry
288	lipid	Phosphatidic acid; C=30; DB=0	Homo sapiens	451	Mass spectrometry
289	lipid	Phosphatidylcholine; C=38; DB=6 / PE; C=41;DB=6	Homo sapiens	451	Mass spectrometry
290	lipid	Lysophosphatidylethanolamine; C=20; DB=2 / LysoPC; C=17; DB=2	Homo sapiens	451	Mass spectrometry
291	lipid	Lysophosphatidylglycerol(10:0/0:0)	Homo sapiens	451	Mass spectrometry
292	lipid	Lysophosphatidylinositol(20:4/0:0)	Homo sapiens	451	Mass spectrometry
293	lipid	Dihydroxyacetone phosphate (18:0)	Homo sapiens	451	Mass spectrometry
294	lipid	20-Carboxyleukotriene B4	Homo sapiens	451	Mass spectrometry
