"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008179","GO:0008179","adenylate cyclase binding","1/20","32/30629",0.0206954904144491,0.0680518518626891,0.0366497121414727,"Q9WTQ5",1
"GO:0030414","GO:0030414","peptidase inhibitor activity","2/20","348/30629",0.0213689048616147,0.0680518518626891,0.0366497121414727,"P22599/P07759",2
"GO:0140666","GO:0140666","annealing activity","1/20","35/30629",0.0226146912860272,0.0680518518626891,0.0366497121414727,"P10107",1
"GO:0061135","GO:0061135","endopeptidase regulator activity","2/20","359/30629",0.0226462321308026,0.0680518518626891,0.0366497121414727,"P22599/P07759",2
"GO:0035325","GO:0035325","Toll-like receptor binding","1/20","36/30629",0.0232536304954897,0.0680518518626891,0.0366497121414727,"P48025",1
"GO:0019825","GO:0019825","oxygen binding","1/20","38/30629",0.0245303186946902,0.0680518518626891,0.0366497121414727,"P07724",1
"GO:0031210","GO:0031210","phosphatidylcholine binding","1/20","38/30629",0.0245303186946902,0.0680518518626891,0.0366497121414727,"Q3U7R1",1
"GO:0034237","GO:0034237","protein kinase A regulatory subunit binding","1/20","45/30629",0.0289862545733113,0.0779005591657741,0.0419537895140032,"Q70FJ1",1
"GO:0050997","GO:0050997","quaternary ammonium group binding","1/20","47/30629",0.0302558231311724,0.0781335696526614,0.0420792786379082,"Q3U7R1",1
"GO:0050780","GO:0050780","dopamine receptor binding","1/20","48/30629",0.0308900159091917,0.0781335696526614,0.0420792786379082,"Q9Z0P4",1
"GO:0050998","GO:0050998","nitric-oxide synthase binding","1/20","52/30629",0.0334228490950778,0.0821247149193339,0.0442287326370954,"P49817",1
"GO:0033612","GO:0033612","receptor serine/threonine kinase binding","1/20","56/30629",0.0359493927178164,0.0858791048258947,0.0462506806895883,"P49817",1
"GO:0043274","GO:0043274","phospholipase binding","1/20","58/30629",0.0372103105687411,0.0864888299705875,0.0465790516365465,"P48025",1
"GO:0008200","GO:0008200","ion channel inhibitor activity","1/20","61/30629",0.0390987500891243,0.0884866449385445,0.0476549862582125,"P49817",1
"GO:0031267","GO:0031267","small GTPase binding","2/20","493/30629",0.0405768641478397,0.0894771876080568,0.0481884486506058,"Q8BTM8/P49817",2
"GO:0016248","GO:0016248","channel inhibitor activity","1/20","67/30629",0.0428650778166925,0.0921599173058888,0.0496332479982755,"P49817",1
"GO:0140272","GO:0140272","exogenous protein binding","1/20","71/30629",0.0453681671061998,0.095162496856907,0.0512503043048214,"P07724",1
"GO:0048487","GO:0048487","beta-tubulin binding","1/20","76/30629",0.0484882841730637,0.0968935063479609,0.0521825493183633,"Q9Z0F7",1
"GO:0043014","GO:0043014","alpha-tubulin binding","1/20","81/30629",0.0515987117599664,0.0968935063479609,0.0521825493183633,"Q9Z0F7",1
"GO:0030170","GO:0030170","pyridoxal phosphate binding","1/20","83/30629",0.0528401761295777,0.0968935063479609,0.0521825493183633,"P07724",1
"GO:0001784","GO:0001784","phosphotyrosine residue binding","1/20","84/30629",0.0534603292258066,0.0968935063479609,0.0521825493183633,"P48025",1
"GO:0005504","GO:0005504","fatty acid binding","1/20","85/30629",0.0540800965663037,0.0968935063479609,0.0521825493183633,"P07724",1
"GO:0030159","GO:0030159","signaling receptor complex adaptor activity","1/20","85/30629",0.0540800965663037,0.0968935063479609,0.0521825493183633,"Q9WTQ5",1
"GO:0070279","GO:0070279","vitamin B6 binding","1/20","85/30629",0.0540800965663037,0.0968935063479609,0.0521825493183633,"P07724",1
"GO:0042169","GO:0042169","SH2 domain binding","1/20","89/30629",0.0565553129156995,0.0992603451173501,0.0534572238086096,"P48025",1
"GO:0004715","GO:0004715","non-membrane spanning protein tyrosine kinase activity","1/20","93/30629",0.0590243753371201,0.1005705602707,0.0541628476366069,"P48025",1
"GO:0016504","GO:0016504","peptidase activator activity","1/20","94/30629",0.0596406810907637,0.1005705602707,0.0541628476366069,"P49817",1
"GO:0051287","GO:0051287","NAD binding","1/20","108/30629",0.0682287980803417,0.112839935286719,0.0607705893833003,"Q61753",1
"GO:0045309","GO:0045309","protein phosphorylated amino acid binding","1/20","114/30629",0.0718865635809234,0.11664612203697,0.0628204329207672,"P48025",1
"GO:0004857","GO:0004857","enzyme inhibitor activity","1/20","121/30629",0.0761367159658475,0.119997158949391,0.0646251529225608,"P10107",1
"GO:0003678","GO:0003678","DNA helicase activity","1/20","122/30629",0.076742369095541,0.119997158949391,0.0646251529225608,"P10107",1
"GO:0005507","GO:0005507","copper ion binding","1/20","127/30629",0.0797649811104068,0.121257547254213,0.0653039422176913,"Q9Z0F7",1
"GO:0019905","GO:0019905","syntaxin binding","1/20","128/30629",0.0803683743429088,0.121257547254213,0.0653039422176913,"P49817",1
"GO:0008170","GO:0008170","N-methyltransferase activity","1/20","148/30629",0.0923576001660915,0.136358570478063,0.073436684223192,"O55239",1
"GO:0033293","GO:0033293","monocarboxylic acid binding","1/20","150/30629",0.0935483216070434,0.136358570478063,0.073436684223192,"P07724",1
"GO:0035591","GO:0035591","signaling adaptor activity","1/20","157/30629",0.0977041710066257,0.140042645109497,0.0754207635840619,"Q9WTQ5",1
"GO:0003727","GO:0003727","single-stranded RNA binding","1/20","173/30629",0.107135389532621,0.147848586456247,0.0796246977242947,"P10107",1
"GO:0046332","GO:0046332","SMAD binding","1/20","173/30629",0.107135389532621,0.147848586456247,0.0796246977242947,"Q8BTM8",1
"GO:0072341","GO:0072341","modified amino acid binding","1/20","175/30629",0.108307685427251,0.147848586456247,0.0796246977242947,"P07724",1
"GO:0051087","GO:0051087","chaperone binding","1/20","181/30629",0.111815806130712,0.150252489488144,0.0809193333840676,"P07724",1
"GO:0051117","GO:0051117","ATPase binding","1/20","186/30629",0.114729220255237,0.151795583722313,0.0817503755664844,"P49817",1
"GO:0048306","GO:0048306","calcium-dependent protein binding","1/20","191/30629",0.117633554162044,0.152433526195611,0.0820939431163635,"P10107",1
"GO:0000149","GO:0000149","SNARE binding","1/20","195/30629",0.119950501553038,0.152433526195611,0.0820939431163635,"P49817",1
"GO:0008094","GO:0008094","ATP-dependent activity, acting on DNA","1/20","196/30629",0.120528834666297,0.152433526195611,0.0820939431163635,"P10107",1
"GO:0097110","GO:0097110","scaffold protein binding","1/20","201/30629",0.123415088508361,0.153821704517668,0.0828415544525996,"P48025",1
"GO:0051219","GO:0051219","phosphoprotein binding","1/20","208/30629",0.127440729852201,0.155754095270781,0.0838822544909957,"P48025",1
"GO:0016616","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","1/20","210/30629",0.128587683304947,0.155754095270781,0.0838822544909957,"Q61753",1
"GO:0003697","GO:0003697","single-stranded DNA binding","1/20","217/30629",0.132590751759394,0.156202803442574,0.0841239088307621,"P10107",1
"GO:0019842","GO:0019842","vitamin binding","1/20","217/30629",0.132590751759394,0.156202803442574,0.0841239088307621,"P07724",1
"GO:0016614","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","1/20","224/30629",0.13657634647872,0.158723862123918,0.0854816393323428,"Q61753",1
"GO:0008757","GO:0008757","S-adenosylmethionine-dependent methyltransferase activity","1/20","230/30629",0.139978717651643,0.160508929573884,0.0864429975673302,"O55239",1
"GO:0004386","GO:0004386","helicase activity","1/20","255/30629",0.154018651425984,0.174284263455719,0.0938617820324556,"P10107",1
"GO:0004713","GO:0004713","protein tyrosine kinase activity","1/20","261/30629",0.157355687204004,0.175747910383692,0.0946500374159421,"P48025",1
"GO:0005178","GO:0005178","integrin binding","1/20","272/30629",0.163441133445812,0.180204326619742,0.0970500657438021,"P48025",1
"GO:0008168","GO:0008168","methyltransferase activity","1/20","301/30629",0.179285092362274,0.195171113204501,0.105110513843305,"O55239",1
"GO:0031406","GO:0031406","carboxylic acid binding","1/20","313/30629",0.185757467704161,0.199503149433289,0.107443556610339,"P07724",1
"GO:0016741","GO:0016741","transferase activity, transferring one-carbon groups","1/20","317/30629",0.1879041291174,0.199503149433289,0.107443556610339,"O55239",1
"GO:0002020","GO:0002020","protease binding","1/20","332/30629",0.195906323038744,0.205462729040634,0.110653122127147,"P22599",1
"GO:0140097","GO:0140097","catalytic activity, acting on DNA","1/20","388/30629",0.22512432688349,0.233261350746748,0.125624228064344,"P10107",1
"GO:0005516","GO:0005516","calmodulin binding","1/20","420/30629",0.241364511217446,0.247111285294051,0.133083189142451,"Q9WTQ5",1
"GO:0035091","GO:0035091","phosphatidylinositol binding","1/20","450/30629",0.256295591179308,0.259310833428476,0.139653325224638,"Q3U7R1",1
"GO:0019902","GO:0019902","phosphatase binding","1/20","494/30629",0.277690416549718,0.277690416549718,0.149551754322981,"P48025",1
